Time,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,Œ“ «ƒ„,VAR20,
0,19.7013,16.96,33,33,33,33,33,33,33,
1,13.5422,-49.8273,34,34,34,34,34,34,34,
2,-5.06756,24.511,35,35,35,35,35,35,35,
3,-19.0182,29.427,36,36,36,36,36,36,36,
4,-15.4836,-49.0029,37,37,37,37,37,37,37,
5,2.28655,11.3578,38,38,38,38,38,38,38,
6,17.9545,39.5498,39,39,39,39,39,39,39,
7,17.1152,-44.2749,40,40,40,40,40,40,40,
8,0.540225,-2.70014,41,41,41,41,41,41,41,
9,-16.5314,46.5222,42,42,42,42,42,42,42,
10,-18.4041,-36.02,43,43,43,43,43,43,43,
11,-3.35619,-16.543,44,44,44,44,44,44,44,
12,14.7774,49.7886,45,45,45,45,45,45,45,
13,19.3247,-24.8958,46,46,46,46,46,46,46,
14,6.10498,-29.068,47,47,47,47,47,47,47,
15,-12.7277,49.0889,48,48,48,48,48,48,48,
16,-19.8585,-11.7883,49,49,49,49,49,49,49,
17,-8.73158,-39.2775,50,50,50,50,50,50,50,
18,10.4232,44.4788,51,51,51,51,51,51,51,
19,19.9949,2.25812,52,52,52,52,52,52,52,
20,11.1834,-46.3582,53,53,53,53,53,53,53,
21,-7.91005,36.3255,54,54,54,54,54,54,54,
22,-19.731,16.1247,55,55,55,55,55,55,55,
23,-13.4114,-49.746,56,56,56,56,56,56,56,
24,5.23861,25.2786,57,57,57,57,57,57,57,
25,19.0723,28.7068,58,58,58,58,58,58,58,
26,15.371,-49.1711,59,59,59,59,59,59,59,
27,-2.46233,12.218,60,60,60,60,60,60,60,
28,-18.0318,39.0021,61,61,61,61,61,61,61,
29,-17.0229,-44.6792,62,62,62,62,62,62,62,
30,-0.363243,-1.81591,63,63,63,63,63,63,63,
31,16.6304,46.1906,64,64,64,64,64,64,64,
32,18.3341,-36.6282,65,65,65,65,65,65,65,
33,3.18154,-15.7051,66,66,66,66,66,66,66,
34,-14.8961,49.6995,67,67,67,67,67,67,67,
35,-19.2784,-25.6594,68,68,68,68,68,68,68,
36,-5.93616,-28.3433,69,69,69,69,69,69,69,
37,12.8637,49.2494,70,70,70,70,70,70,70,
38,19.8368,-12.6466,71,71,71,71,71,71,71,
39,8.57197,-38.7237,72,72,72,72,72,72,72,
40,-10.5738,44.8761,73,73,73,73,73,73,73,
41,-19.9981,1.37357,74,74,74,74,74,74,74,
42,-11.0362,-46.0193,75,75,75,75,75,75,75,
43,8.07233,36.928,76,76,76,76,76,76,76,
44,19.7592,15.2844,77,77,77,77,77,77,77,
45,13.2796,-49.6491,78,78,78,78,78,78,78,
46,-5.40925,26.0383,79,79,79,79,79,79,79,
47,-19.1248,27.9776,80,80,80,80,80,80,80,
48,-15.2571,-49.3239,81,81,81,81,81,81,81,
49,2.63791,13.0743,82,82,82,82,82,82,82,
50,18.1077,38.4422,83,83,83,83,83,83,83,
51,16.9293,-45.0695,84,84,84,84,84,84,84,
52,0.186231,-0.931117,85,85,85,85,85,85,85,
53,-16.7281,45.8445,86,86,86,86,86,86,86,
54,-18.2627,-37.2249,87,87,87,87,87,87,87,
55,-3.00665,-14.8624,88,88,88,88,88,88,88,
56,15.0137,49.5948,89,89,89,89,89,89,89,
57,19.2305,-26.4151,90,90,90,90,90,90,90,
58,5.76688,-27.6097,91,91,91,91,91,91,91,
59,-12.9988,49.3945,92,92,92,92,92,92,92,
60,-19.8134,-13.501,93,93,93,93,93,93,93,
61,-8.41169,-38.1577,94,94,94,94,94,94,94,
62,10.7237,45.2594,95,95,95,95,95,95,95,
63,19.9998,0.488591,96,96,96,96,96,96,96,
64,10.8881,-45.666,97,97,97,97,97,97,97,
65,-8.23398,37.519,98,98,98,98,98,98,98,
66,-19.7858,14.4392,99,99,99,99,99,99,99,
67,-13.1467,-49.5366,100,100,100,100,100,100,100,
68,5.57947,26.7898,101,101,101,101,101,101,101,
69,19.1759,27.2397,1,1,1,1,1,1,1,
70,15.1421,-49.4612,2,2,2,2,2,2,2,
